f_Hz,mag,mag_dB,phase_deg
50,0.00886581430548474,-41.0456273848209,-75.109813579878
54.0824536971414,0.00880158916598562,-41.1087781394776,-76.7929780718281
58.4982359580689,0.00873445413712501,-41.1752846244786,-74.2512840476902
63.2745627513343,0.00867808779270041,-41.2315192120631,-76.8244360079234
68.4408722041181,0.0086103944956762,-41.2995390072324,-73.5669534282021
74.0290060394239,0.00853275387324173,-41.3782156276838,-74.4641594832794
80.0734058274509,0.00851185199725476,-41.3995187285519,-69.4515955895641
86.6113252607106,0.00824345029629852,-41.6778195257358,-76.1001496020061
93.6830597612087,0.00827156876130783,-41.6482423125325,-80.3784892167715
101.332194834842,0.00815813199963002,-41.7681854404247,-86.6452970370291
109.605874703701,0.00811697229805209,-41.8121187241805,-87.1635458175659
118.555092871952,0.00815793960847255,-41.768390279972,-63.940612074942
128.235006416153,0.00780970488007516,-42.1473075462095,-83.8147999577296
138.705275937084,0.00765096651084097,-42.325673979774,-79.3503234986513
150.030433268332,0.00780259578136363,-42.155217828293,-64.6710062174217
162.280279207933,0.00797871421835338,-41.9613418042279,-99.102598770409
175.530313724444,0.00748545497128449,-42.5156359558153,-79.015163168719
189.862201288939,0.00730340110284673,-42.7294969449432,-76.9766442038934
205.364274200928,0.00827583627538873,-41.6437621953087,-45.2736618827011
222.132077010374,0.00746319564269317,-42.5415034698073,-52.9073467827076
240.268955391269,0.00749375166298347,-42.5060140636033,-52.4474508908522
259.886693096177,0.00765192244656896,-42.324588805299,-45.2312859645117
281.106200917543,0.00670997270621001,-43.4655849276678,-65.8229568297871
304.058261902048,0.00811923822073493,-41.809694321706,-36.5566797880112
328.884337411016,0.00776712025797107,-42.1947994126324,-104.525151051091
355.737438994926,0.00700621851765493,-43.0903264310551,-45.6352633634629
384.783071455655,0.00625088712273213,-44.0811668685835,-73.8166473912151
416.200252908887,0.00824283778964669,-41.6784649305905,-25.2544010975254
450.182618133668,0.00634272115079836,-43.9544876271085,-45.395598356589
486.93961200944,0.00641361775863284,-43.8579385378655,-70.0943402893097
526.697780396091,0.00595495252431057,-44.5024339313558,-52.2138921067675
569.702166413175,0.00883496868744968,-41.07589970728,-13.5709273886963
616.217820724034,0.0083287108150211,-41.5884443398164,-14.9465179401778
666.531435133219,0.005430987239593,-45.3024243521049,-54.9974742322425
720.953109565631,0.00551920434414883,-45.1624705245894,-51.6675708029356
779.818263317868,0.0130241083608031,-37.7050399820473,12.6153506271225
843.489702361476,0.00677987516021617,-43.3755660569608,-8.29087970109813
912.359855439602,0.0062892370468692,-44.0280407204485,-7.60182375797449
986.853192738859,0.0114534840016087,-38.8212477293287,14.3340647329019
1067.42884204351,0.00631345106455556,-43.9946636278377,-5.17856895198984
1154.58341849623,0.00710832580191057,-42.9646535004824,-99.6617840203389
1248.85408540619,0.00717603405745074,-42.8823101759576,-1.04104421275583
1350.82186496932,0.00517484481365472,-45.7220533911754,-14.2611062806989
1461.1152193058,0.00984793007373986,-40.133100876386,33.8753438782464
1580.41392388589,0.0100289182697832,-39.9749181587325,40.8461832043551
1709.45325721752,0.00554688883936189,-45.1190107474511,35.1231288422762
1849.02853261788,0.00728415434795103,-42.7524172055016,40.7563182569858
2000,0.0206490763640553,-33.7019873924666,50.7119524285968
