f_Hz,mag,mag_dB,phase_deg
10,0.000952281103009069,-60.4246966737948,-0.0130961781174014
10.3128316067218,0.000952281102218699,-60.4246966810038,-0.0135058679579032
10.6354495748601,0.000952281101378106,-60.424696688671,-0.0139283741911493
10.9681600527314,0.000952281100484097,-60.4246966968254,-0.0143640977543783
11.3112787659392,0.000952281099533278,-60.424696705498,-0.0148134521274092
11.665131316982,0.00095228109852204,-60.4246967147216,-0.0152768637250131
12.0300534942332,0.000952281097446542,-60.4246967245314,-0.0157547723015587
12.4063915905883,0.000952281096302702,-60.4246967349645,-0.0162476313683167
12.7945027320787,0.000952281095086177,-60.4246967460606,-0.016755908623819
13.1947552167671,0.000952281093792348,-60.4246967578618,-0.0172800863976805
13.6075288642433,0.000952281092416302,-60.4246967704129,-0.0178206621083047
14.0332153760548,0.000952281090952816,-60.4246967837615,-0.0183781487349089
14.4722187074113,0.000952281089396332,-60.4246967979584,-0.0189530753043142
14.9249554505183,0.000952281087740942,-60.4246968130575,-0.0195459873929652
15.3918552299021,0.00095228108598036,-60.424696829116,-0.0201574476446535
15.8733611101021,0.000952281084107903,-60.424696846195,-0.0207880363044372
16.369930016117,0.000952281082116459,-60.4246968643592,-0.021438351769264
16.8820331670036,0.00095228107999847,-60.4246968836777,-0.0221090111558176
17.4101565230402,0.000952281077745893,-60.4246969042238,-0.0228006508861302
17.9548012468783,0.000952281075350176,-60.4246969260754,-0.0235139272915129
18.5164841791216,0.000952281072802224,-60.4246969493156,-0.0242495172353798
19.095738328781,0.000952281070092362,-60.4246969740327,-0.0250081187555556
19.6931133790742,0.000952281067210302,-60.4246970003204,-0.0257904517266766
20.3091762090474,0.000952281064145101,-60.4246970282785,-0.0265972585433134
20.9445114315147,0.000952281060885123,-60.4246970580132,-0.0274293048244636
21.5997219478272,0.000952281057417989,-60.4246970896374,-0.0282873801400834
22.2754295199956,0.000952281053730537,-60.4246971232712,-0.0291722987603468
22.9722753607115,0.000952281049808766,-60.4246971590422,-0.0300849004283443
23.6909207418263,0.000952281045637785,-60.4246971970863,-0.0310260511569529
24.4320476218649,0.00095228104120176,-60.4246972375479,-0.0319966440506358
25.1963592931701,0.000952281036483849,-60.4246972805807,-0.0329976001529489
25.9845810492925,0.000952281031466137,-60.4246973263479,-0.0340298693205607
26.7974608732569,0.000952281026129576,-60.4246973750234,-0.0350944311246131
27.6357701473616,0.000952281020453903,-60.4246974267921,-0.0361922957802802
28.5003043851811,0.00095228101441757,-60.4246974818503,-0.0373245051054056
29.3918839864689,0.000952281007997658,-60.4246975404072,-0.0384921335091281
30.3113550156758,0.000952281001169793,-60.4246976026852,-0.0396962890114351
31.2595900048228,0.000952280993908052,-60.4246976689205,-0.0409381142946096
32.2374887814903,0.000952280986184864,-60.4246977393648,-0.0422187877875699
33.2459793227094,0.000952280977970907,-60.4246978142855,-0.0435395247841291
34.2860186355659,0.000952280969234994,-60.424697893967,-0.0449015785962374
35.3585936653518,0.000952280959943958,-60.4246979787118,-0.0463062417433009
36.4647222321275,0.000952280950062524,-60.4246980688418,-0.047754847178704
37.6054539965817,0.000952280939553175,-60.4246981646991,-0.0492487695547017
38.7818714561072,0.00095228092837601,-60.4246982666476,-0.0507894265268793
39.9950909720366,0.000952280916488592,-60.4246983750744,-0.05237828009942
41.2462638290135,0.00095228090384579,-60.4246984903912,-0.0540168380124543
42.5365773275039,0.000952280890399602,-60.4246986130358,-0.0557066551728089
43.867255910485,0.000952280876098976,-60.4246987434738,-0.0574493351295132
45.2395623253805,0.000952280860889619,-60.4246988822006,-0.0592465315954612
46.6547988223447,0.000952280844713784,-60.4246990297426,-0.0610999500166753
48.1143083900326,0.000952280827510056,-60.4246991866603,-0.063011349190659
49.619476030029,0.00095228080921312,-60.4246993535493,-0.0649825429353743
51.171730071146,0.000952280789753506,-60.4246995310432,-0.0670154018104278
52.7725435248354,0.000952280769057333,-60.424699719816,-0.069111854892099
54.4234354830027,0.000952280747046023,-60.4246999205843,-0.0712738916038923
56.1259725595497,0.000952280723636006,-60.4247001341104,-0.0735035636043535
57.8817703770127,0.000952280698738403,-60.4247003612051,-0.0758029867339376
59.6924950997073,0.000952280672258683,-60.4247006027304,-0.0781743430227784
